Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,peg_distance,daily_return,dow,week_of_month,btc_close,btc_return
2025-09-23 00:00:00-04:00,97.5,97.75,97.4000015258789,97.4000015258789,214200,0.0,0.0,-2.5999984741210938,-0.0015376885821245523,1,4,112014.5,-0.00651013327573835
2025-09-24 00:00:00-04:00,97.75,97.75,97.5,97.5,134600,0.0,0.0,-2.5,0.001026678362982647,2,4,113328.6328125,0.011731809832655538
2025-09-25 00:00:00-04:00,97.48999786376953,97.48999786376953,96.87999725341797,96.91999816894531,533100,0.0,0.0,-3.0800018310546875,-0.0059487367287660575,3,4,109049.2890625,-0.03776048156409062
2025-09-26 00:00:00-04:00,97.05000305175781,97.29000091552734,96.95999908447266,97.0,306800,0.0,0.0,-3.0,0.0008254419373310284,4,4,109712.828125,0.0060847628462732395
2025-09-29 00:00:00-04:00,97.30999755859375,97.34500122070312,96.94999694824219,97.05000305175781,277000,0.0,0.0,-2.9499969482421875,0.0005154953789465733,0,5,114400.3828125,0.04272567545300432
2025-09-30 00:00:00-04:00,97.19999694824219,97.45999908447266,97.04000091552734,97.05999755859375,423100,0.0,0.0,-2.94000244140625,0.00010298306565337256,1,5,114056.0859375,-0.003009577997342028
2025-10-01 00:00:00-04:00,97.87999725341797,98.25,97.4000015258789,97.9800033569336,620600,0.0,0.0,-2.0199966430664062,0.009478732963952963,2,1,118648.9296875,0.04026829179914837
2025-10-02 00:00:00-04:00,99.12999725341797,100.0,98.58000183105469,98.97000122070312,989600,0.0,0.0,-1.029998779296875,0.01010408072923874,3,1,120681.2578125,0.017128920845327356
2025-10-03 00:00:00-04:00,99.25,99.4000015258789,98.6500015258789,99.0,763300,0.0,0.0,-1.0,0.0003031098204189231,4,1,122266.53125,0.013136036748664148
2025-10-06 00:00:00-04:00,99.37000274658203,99.5999984741211,99.03299713134766,99.1500015258789,856700,0.0,0.0,-0.8499984741210938,0.0015151669280697444,0,1,124752.53125,0.020332628844412337
2025-10-07 00:00:00-04:00,99.30000305175781,99.4000015258789,98.55000305175781,98.69999694824219,609900,0.0,0.0,-1.3000030517578125,-0.004538624011208525,1,1,121451.3828125,-0.026461574802715715
2025-10-08 00:00:00-04:00,99.0,99.02999877929688,98.58000183105469,98.9000015258789,417300,0.0,0.0,-1.0999984741210938,0.0020263888938274466,2,2,123354.8671875,0.01567280940669602
2025-10-09 00:00:00-04:00,99.19999694824219,99.27899932861328,98.66000366210938,98.75,504600,0.0,0.0,-1.25,-0.001516698923808013,3,2,121705.5859375,-0.013370216251727518
