trade_date,buy_date,sell_date,buy_price,sell_price,shares,buy_cost,sell_proceeds,gross_return,net_return,pnl,capital_before,capital_after,portfolio_value
2025-02-10,2025-02-10 00:00:00-05:00,2025-02-11 00:00:00-05:00,55.380001068115234,55.11000061035156,450,24923.49258069992,24797.02032463074,-0.004875414455690997,-0.005074419472298093,-126.47225606918073,49752.88951046554,24829.39692976562,24829.39692976562
2025-02-11,2025-02-11 00:00:00-05:00,2025-02-12 00:00:00-05:00,54.11000061035156,53.83000183105469,458,24784.85851756897,24651.675424539186,-0.005174621625180865,-0.005373566806337658,-133.18309302978378,49481.07235430481,24696.213836735835,24696.213836735835
2025-02-12,2025-02-12 00:00:00-05:00,2025-02-13 00:00:00-05:00,55.15999984741211,54.56999969482422,447,24658.98558378639,24390.350584600066,-0.010696159431109409,-0.01089400041512476,-268.6349991863244,49086.564421335905,24427.57883754951,24427.57883754951
2025-02-13,2025-02-13 00:00:00-05:00,2025-02-14 00:00:00-05:00,54.7400016784668,54.939998626708984,446,24416.48215267105,24500.789063573455,0.0036535795051109905,0.003452868860274404,84.30691090240362,48928.36790112297,24511.885748451914,24511.885748451914
2025-02-14,2025-02-14 00:00:00-05:00,2025-02-18 00:00:00-05:00,55.33000183105469,54.900001525878906,442,24458.306395407104,24263.374094371033,-0.007771557761533237,-0.007969983607396324,-194.9323010360713,48775.25984282295,24316.953447415843,24316.953447415843
2025-02-18,2025-02-18 00:00:00-05:00,2025-02-19 00:00:00-05:00,53.5099983215332,54.83000183105469,454,24295.968591899873,24890.331549215698,0.024668352661679972,0.024463439482465498,594.362957315825,49207.28499663154,24911.316404731668,24911.316404731668
2025-02-19,2025-02-19 00:00:00-05:00,2025-02-20 00:00:00-05:00,54.650001525878906,55.630001068115234,455,24868.23726934433,25309.11932094383,0.017932287554873354,0.01772872145397249,440.88205159950303,50220.4357256755,25352.19845633117,25352.19845633117
2025-02-20,2025-02-20 00:00:00-05:00,2025-02-21 00:00:00-05:00,56.040000915527344,56.38999938964844,452,25332.61342185974,25485.73089614868,0.0062455115703632606,0.006044282590947176,153.1174742889416,50837.929352479856,25505.315930620112,25505.315930620112
2025-02-21,2025-02-21 00:00:00-05:00,2025-02-24 00:00:00-05:00,53.91999816894531,54.22999954223633,472,25452.784159655763,25594.000127957155,0.005749283824522788,0.005548154080732295,141.21596830139242,51099.31605857727,25646.531898921505,25646.531898921505
2025-02-24,2025-02-24 00:00:00-05:00,2025-02-25 00:00:00-05:00,53.40999984741211,50.654998779296875,480,25639.36360675049,24311.967974121093,-0.051582120875979055,-0.05177178548534296,-1327.3956326293955,49958.4998730426,24319.13626629211,24319.13626629211
