trade_number,date,ibit_buy_price,ibit_sell_price,ibit_overnight_return,strc_open_price,strc_close_price,strc_price_return,strc_dividend_return,strc_total_return,combined_return,portfolio_value_before,portfolio_value_after
56,2025-10-16 04:00:00,61.43000030517578,59.88999938964844,-0.0252641658801081,97.69548921452443,96.43675994873047,-0.012884210682746897,0.0002945205479452055,-0.01268969013480169,-0.03795385601490979,27406.02591587055,26365.86155431871
57,2025-10-17 04:00:00,60.470001220703125,62.880001068115234,0.0396465198656546,96.43676212060109,96.53587341308594,0.0010277335147451717,0.0002945205479452055,0.001222254062690377,0.04086877392834498,26365.86155431871,27443.40198960821
58,2025-10-20 04:00:00,62.93000030517578,61.72999954223633,-0.0192649852612767,97.62611043776492,97.74504852294922,0.0012183019957567403,0.0002945205479452055,0.0014128225437019457,-0.017852162717574754,27443.40198960821,26953.47791176591
59,2025-10-21 04:00:00,63.4900016784668,61.41999816894531,-0.0327970739617157,97.7747797125948,97.75,-0.00025343664969275137,0.0002945205479452055,-5.89161017475459e-05,-0.03285599006346325,26953.47791176591,26067.89470932115
60,2025-10-22 04:00:00,61.209999084472656,61.959999084472656,0.0120504696992602,97.77477782653985,97.24948120117188,-0.005372516686255112,0.0002945205479452055,-0.005177996138309907,0.006872473560950293,26067.89470932115,26247.045626500592
61,2025-10-23 04:00:00,62.560001373291016,63.16999816894531,0.0095486580271908,97.65584412040694,97.79460144042969,0.001420880862507972,0.0002945205479452055,0.0016154014104531773,0.011164059437643977,26247.045626500592,26540.069203937397
62,2025-10-24 04:00:00,62.83000183105469,65.375,0.0402980169111365,97.97300108919646,97.83424377441406,-0.0014162811513354426,0.0002945205479452055,-0.0012217606033902372,0.03907625630774626,26540.069203937397,27577.155750575777
63,2025-10-27 04:00:00,65.27999877929688,65.3499984741211,0.0008721048263366,98.05229925978952,97.62611389160156,-0.004346510703015547,0.0002945205479452055,-0.004151990155070342,-0.0032798853287337422,27577.155750575777,27486.70584202126
64,2025-10-28 04:00:00,64.48999786376953,64.48500061035156,-0.0002774533193004,97.91353646715436,97.7252197265625,-0.0019232962814598198,0.0002945205479452055,-0.0017287757335146144,-0.0020062290528150145,27486.70584202126,27431.56121419482
65,2025-10-29 04:00:00,62.75,61.529998779296875,-0.0196383424698336,97.93335988189494,97.84416198730469,-0.0009108019442795267,0.0002945205479452055,-0.0007162813963343213,-0.02035462386616792,27431.56121419482,26873.20210361812
66,2025-10-30 04:00:00,60.400001525878906,62.349998474121094,0.0320782805707794,98.1018549902417,98.01264953613281,-0.000909314651774585,0.0002945205479452055,-0.0007147941038293795,0.031363486466950016,26873.20210361812,27716.039414118564
67,2025-10-31 04:00:00,62.29999923706055,61.01499938964844,-0.0208218562278953,98.75599404419998,98.49829864501953,-0.0026094152732148348,0.0002945205479452055,-0.002414894725269629,-0.02323675095316493,27716.039414118564,27072.008708844587
68,2025-11-03 05:00:00,60.529998779296875,58.880001068115234,-0.0274537017582323,98.88484150838234,98.72626495361328,-0.0016036487731601744,0.0002945205479452055,-0.001409128225214969,-0.028862829983447268,27072.008708844587,26290.6339241708
69,2025-11-04 05:00:00,57.18000030517578,58.255001068115234,0.0185965533759029,98.81546413882009,98.85511016845703,0.00040121280593536247,0.0002945205479452055,0.0005957333538805678,0.01919228672978347,26290.6339241708,26795.211308751263
70,2025-11-05 05:00:00,58.91999816894531,58.400001525878906,-0.0090236845215749,99.30112216324723,99.12271881103516,-0.0017965894878688683,0.0002945205479452055,-0.0016020689399236629,-0.010625753461498563,26795.211308751263,26510.491999435715
71,2025-11-06 05:00:00,57.2599983215332,56.880001068115234,-0.0068350004823199,99.29120458128388,99.00377655029297,-0.0028947985091228217,0.0002945205479452055,-0.002700277961177616,-0.009535278443497516,26510.491999435715,26257.70707654698
72,2025-11-07 05:00:00,58.880001068115234,60.29899978637695,0.0238950424361616,99.15245006535214,98.30007934570312,-0.008596567397852624,0.0002945205479452055,-0.008402046849907417,0.015492995586254185,26257.70707654698,26664.517616389076
73,2025-11-10 05:00:00,60.189998626708984,59.33000183105469,-0.0144851574918002,98.95422017679375,99.07315826416016,0.0012019506308463118,0.0002945205479452055,0.0013964711787915172,-0.013088686313008682,26664.517616389076,26315.514109620468
74,2025-11-11 05:00:00,58.349998474121094,59.470001220703125,0.0189907448945427,99.18217925609497,99.11280059814453,-0.0006995072952702252,0.0002945205479452055,-0.0005049867473250197,0.01848575814721768,26315.514109620468,26801.97633897061
75,2025-11-12 05:00:00,57.59000015258789,58.119998931884766,0.0090011449977563,99.13262464714747,99.12271881103516,-9.992508669642012e-05,0.0002945205479452055,9.459546124878535e-05,0.009095740459005085,26801.97633897061,27045.76015953828
76,2025-11-13 05:00:00,55.59000015258789,54.09000015258789,-0.0271778541858548,99.14253364437282,97.75,-0.014045774232156277,0.0002945205479452055,-0.01385125368421107,-0.041029107870065876,27045.76015953828,25936.096748524655
77,2025-11-14 05:00:00,53.474998474121094,53.3849983215332,-0.0018826757836694,98.0,97.76000213623047,-0.0024489577935666454,0.0002945205479452055,-0.0022544372456214396,-0.00413711302929084,25936.096748524655,25828.796184737384
78,2025-11-17 05:00:00,52.099998474121094,52.025001525878906,-0.0016391729491852,98.18000030517578,94.58000183105469,-0.0366673300359657,0.0002945205479452055,-0.0364728094880205,-0.0381119824372057,25828.796184737384,24844.409558170508
79,2025-11-18 05:00:00,52.65999984741211,51.70500183105469,-0.0183315227026995,94.87000274658203,96.38999938964844,0.016021888890702794,0.0002945205479452055,0.016216409438648,-0.0021151132640514977,24844.409558170508,24791.860817976496
80,2025-11-19 05:00:00,50.72999954223633,51.86000061035156,0.0220703748313124,96.77999877929688,94.58999633789062,-0.022628667793233474,0.0002945205479452055,-0.022434147245288267,-0.0003637724139758658,24791.860817976496,24782.842222919786
81,2025-11-20 05:00:00,48.959999084472656,47.4900016784668,-0.0302184330944096,95.98999786376953,92.79000091552734,-0.03333677486672801,0.0002945205479452055,-0.03314225431878281,-0.06336068741319241,24782.842222919786,23212.584303622898
82,2025-11-21 05:00:00,47.970001220703125,48.724998474121094,0.0155358184106952,90.63999938964844,95.37999725341797,0.052294769369899886,0.0002945205479452055,0.052489289917845086,0.06802510832854028,23212.584303622898,24791.62286546222
83,2025-11-24 05:00:00,50.56999969482422,49.474998474121094,-0.0218488281128071,95.66000366210938,96.37999725341797,0.007526589627277852,0.0002945205479452055,0.007721110175223057,-0.014127717937584043,24791.62286546222,24441.373810404013
84,2025-11-25 05:00:00,49.560001373291016,49.52000045776367,-0.0010069395467129,96.38999938964844,96.29000091552734,-0.0010374361941518264,0.0002945205479452055,-0.000842915646206621,-0.0018498551929195211,24441.373810404013,24396.160808138753
85,2025-11-26 05:00:00,51.029998779296875,52.79999923706055,0.0344785725239811,97.19000244140625,97.16999816894531,-0.00020582644262199338,0.0002945205479452055,-1.130589467678791e-05,0.03446726662930431,24396.160808138753,25237.029787444255
86,2025-11-28 05:00:00,51.54999923706055,48.939998626708984,-0.0508203233782275,97.83999633789062,96.66000366210938,-0.012060432542394452,0.0002945205479452055,-0.011865911994449245,-0.06268623537267674,25237.029787444255,23655.015398081272
87,2025-12-01 05:00:00,48.5,50.33000183105469,0.0375244708698528,96.1500015258789,96.41000366210938,0.0027041303390982143,0.0002945205479452055,0.00289865088704342,0.04042312175689622,23655.015398081272,24611.224965679165
88,2025-12-02 05:00:00,51.66999816894531,52.54999923706055,0.0168277946579317,97.27999877929688,97.80000305175781,0.005345438723130461,0.0002945205479452055,0.005539959271075666,0.022367753929007365,24611.224965679165,25161.72278960292
89,2025-12-03 05:00:00,52.7400016784668,52.665000915527344,-0.0016217805689372,98.5,98.19999694824219,-0.0030457162615006345,0.0002945205479452055,-0.0028511957135554287,-0.004472976282492628,25161.72278960292,25049.17500033837
90,2025-12-04 05:00:00,52.5099983215332,51.349998474121094,-0.0222865903183575,98.5999984741211,98.19999694824219,-0.00405681067007209,0.0002945205479452055,-0.003862290122126884,-0.026148880440484384,25049.17500033837,24394.167118121753
91,2025-12-05 05:00:00,50.689998626708984,51.834999084472656,0.0223837941464304,98.25,98.19000244140625,-0.0006106621739821883,0.0002945205479452055,-0.00041614162603698286,0.021967652520393417,24394.167118121753,24930.049704897057
92,2025-12-08 05:00:00,51.52000045776367,51.22999954223633,-0.0058277540425177,98.58000183105469,98.52999877929688,-0.0005072332200146149,0.0002945205479452055,-0.0003127126720694094,-0.00614046671458711,24930.049704897057,24776.967564491133
93,2025-12-09 05:00:00,52.849998474121094,52.189998626708984,-0.0126856541683749,98.7300033569336,99.08999633789062,0.0036462368957445165,0.0002945205479452055,0.003840757443689722,-0.008844896724685178,24776.967564491133,24557.817845232337
